person name ID	corporate indicator	index order	name entry element	name scope notes	name second element	name third element	natural order	name query indicator	standardised entry element	standardised second element
328	FALSE		Waltheof			earl		FALSE	waltheof	
329	FALSE		William			minister		FALSE	william	
330	FALSE		Ingelric			priest		FALSE	ingelric	
331	FALSE		Giso			bishop of Wells		FALSE	giso	
332	FALSE		William		Huse			FALSE	william	huse
333	FALSE		Walter		Huse	sheriff of Wiltshire		FALSE	walter	huse
334	FALSE		Odo			chaplain of the queen		FALSE	odo	
335	FALSE		Rainald			chaplain of the king		FALSE	rainald	
336	FALSE		Stephen					FALSE	stephen	
337	FALSE		William		de Beaufou			FALSE	william	de beaufou
338	FALSE		William		brother of	Rainald		FALSE	william	brother of
339	FALSE		Henry			chaplain of the queen		FALSE	henry	
340	FALSE		William			archbishop of Rouen		FALSE	william	
341	FALSE		William		de Vatteville			FALSE	william	de vatteville
343	FALSE		Fulbert			archdeacon of Rouen		FALSE	fulbert	
344	FALSE		Benedict					FALSE	benedict	
345	TRUE		La Croix-Saint-Leufroy		Abbey			FALSE	la croix-saint-leufroy	abbey
346	FALSE		Ralph		de Tosny			FALSE	ralph	de tosny
347	FALSE		Odilo			abbot of La Croix		FALSE	odilo	
348	FALSE		Ralph		son of Gilbert	monk		FALSE	ralph	son of gilbert
349	FALSE		Henry			"monk, former provost of Tosny"		FALSE	henry	
350	FALSE		Rainald		William the monk's father			FALSE	rainald	william the monk's father
351	FALSE		Gilbert			bishop of Evreux		FALSE	gilbert	
352	TRUE		Le Bec		Abbey			FALSE	le bec	abbey
353	FALSE		Emmelina		wife of Arnulf de Hesdin			FALSE	emmelina	wife of arnulf de hesdin
354	TRUE		Le Mans		Cathedral			FALSE	le mans	cathedral
355	FALSE		Arnold			bishop of Le Mans		FALSE	arnold	
356	FALSE		Ingelrann		son of Ilbert			FALSE	ingelrann	son of ilbert
357	FALSE		Robert		Giffard			FALSE	robert	giffard
358	FALSE		Fulcoi			vicarius		FALSE	fulcoi	
359	TRUE		Le Mans		Saint-Pierre-de-la-Cour			FALSE	le mans	saint-pierre-de-la-cour
360	FALSE		Norman		Ribola	provost/dean of Saint-Pierre		FALSE	norman	ribola
361	FALSE		Richard			pantler		FALSE	richard	
362	FALSE		Hoellus			bishop of Le Mans		FALSE	hoellus	
363	FALSE		Hugh		de Sourches			FALSE	hugh	de sourches
364	FALSE		Guidorus		Harenga			FALSE	guidorus	harenga
365	FALSE		John		Valeri			FALSE	john	valeri
366	FALSE		Hubert		Ribola			FALSE	hubert	ribola
367	FALSE		Engebaldus			precentor of Saint-Pierre		FALSE	engebaldus	
368	FALSE		Angegeslis			canon of Saint-Pierre		FALSE	angegeslis	
369	FALSE		Drogo		Trasfalnon			FALSE	drogo	trasfalnon
370	FALSE		Gofido		Mitoto	archdeacon of Le Mans		FALSE	gofido	mitoto
371	FALSE		Lysio			canon of Le Mans cathedral		FALSE	lysio	
372	FALSE		Simon			canon [of Saint-Pierre]		FALSE	simon	
373	FALSE		William		Ribola			FALSE	william	ribola
374	FALSE		Henry			canon [of Saint-Pierre]		FALSE	henry	
375	TRUE		Le Mans		Abbey of Saint-Vincent			FALSE	le mans	abbey of saint-vincent
376	FALSE		Fulk			count of Anjou		FALSE	fulk	
