act ID	person name ID	name-role	name sequence	name query indicator
1833	3425	W	7	FALSE
1833	3426	R	2	FALSE
1833	3427	W	13	FALSE
1834	155	B	0	FALSE
1835	2	R	1	FALSE
1835	27	R	2	FALSE
1835	155	B	0	FALSE
1835	617	W	9	FALSE
1835	944	R	3	FALSE
1835	1332	W	1	FALSE
1835	1469	W	5	FALSE
1835	1473	W	11	FALSE
1835	1497	W	6	FALSE
1835	1666	R	5	FALSE
1835	1756	W	2	FALSE
1835	2056	W	4	FALSE
1835	2439	W	3	FALSE
1835	3079	W	8	FALSE
1835	3164	W	10	FALSE
1835	3236	W	7	FALSE
1835	3428	R	4	FALSE
1836	101	R	1	FALSE
1836	155	B	0	FALSE
1836	416	W	10	FALSE
1836	1149	W	5	FALSE
1836	1332	W	1	FALSE
1836	1497	W	4	FALSE
1836	1802	W	9	FALSE
1836	2028	R	8	FALSE
1836	2303	W	8	FALSE
1836	2439	W	2	FALSE
1836	2640	W	7	FALSE
1836	3079	R	3	FALSE
1836	3152	W	3	FALSE
1836	3429	R	2	FALSE
1836	3430	R	4	FALSE
1836	3431	R	5	FALSE
1836	3432	R	6	FALSE
1836	3433	R	7	FALSE
1836	3434	R	9	FALSE
1836	3435	R	10	FALSE
1836	3436	W	6	FALSE
1836	3437	W	11	FALSE
1837	155	B	1	FALSE
1837	166	W	9	FALSE
1837	416	W	15	FALSE
1837	1149	W	5	FALSE
1837	1332	W	1	FALSE
1837	1457	W	11	FALSE
1837	1497	W	4	FALSE
1837	1802	W	16	FALSE
1837	2303	W	13	FALSE
1837	2439	R	3	FALSE
1837	2439	W	2	FALSE
1837	3152	W	3	FALSE
1837	3436	W	7	FALSE
1837	3437	W	14	FALSE
1837	3438	R	1	FALSE
1837	3438	W	8	FALSE
1837	3439	R	2	FALSE
1837	3440	W	6	FALSE
1837	3441	W	10	FALSE
1837	3442	W	12	FALSE
1838	155	B	0	FALSE
1838	2056	A	1	FALSE
1838	2437	A	2	FALSE
1839	155	B	0	FALSE
1840	155	B	0	FALSE
1840	156	W	2	FALSE
1840	2439	W	1	FALSE
1840	3441	W	3	FALSE
1840	3443	R	1	FALSE
1841	155	B	0	FALSE
1842	1494	W	1	FALSE
1842	3111	R	1	FALSE
1842	3236	A	1	FALSE
1842	3444	B	0	FALSE
1843	1162	A	1	FALSE
1843	1494	W	3	FALSE
1843	1522	W	2	FALSE
1843	3051	W	1	FALSE
1843	3445	B	0	FALSE
1844	50	A	1	FALSE
1844	50	R	4	FALSE
1844	64	R	2	FALSE
1844	110	R	1	FALSE
1844	188	B	0	FALSE
1844	3446	R	3	FALSE
1845	15	R	2	FALSE
1845	59	W	1	FALSE
1845	110	R	1	FALSE
1845	188	B	0	FALSE
1845	1169	A	1	FALSE
1845	1303	A	2	FALSE
1846	2	R	3	FALSE
1846	110	R	1	FALSE
1846	188	B	0	FALSE
1846	462	R	4	FALSE
1846	988	W	2	FALSE
1846	1231	W	3	FALSE
1846	1398	W	4	FALSE
1846	1666	R	2	FALSE
1846	1666	W	1	FALSE
1847	110	R	2	FALSE
1847	188	B	0	FALSE
1847	1469	A	1	FALSE
1847	1502	R	1	FALSE
1847	1802	W	2	FALSE
1847	2056	W	1	FALSE
1848	188	B	0	FALSE
1848	1469	W	1	FALSE
1848	1502	R	1	FALSE
1848	1780	W	2	FALSE
1848	2303	W	4	FALSE
1848	2640	W	3	FALSE
1849	188	B	0	FALSE
1849	1502	R	1	FALSE
1849	1780	W	1	FALSE
1849	3447	R	2	FALSE
1850	2	R	3	FALSE
1850	12	R	2	FALSE
1850	110	R	1	FALSE
1850	188	B	0	FALSE
1851	2	R	3	FALSE
1851	12	R	2	FALSE
1851	110	R	1	FALSE
1851	188	B	0	FALSE
1852	2	R	3	FALSE
1852	12	R	2	FALSE
1852	188	B	0	FALSE
1852	3109	R	1	FALSE
1853	2	R	3	FALSE
1853	12	R	2	FALSE
1853	188	B	0	FALSE
1853	3109	R	1	FALSE
1854	2	R	3	FALSE
1854	12	R	2	FALSE
1854	188	B	0	FALSE
1854	1502	R	1	FALSE
1855	188	B	0	FALSE
1855	1385	W	1	FALSE
1855	3109	A	1	FALSE
1855	3448	R	1	FALSE
1855	3449	R	2	FALSE
1856	188	B	0	FALSE
1856	3061	W	1	FALSE
1856	3095	W	2	FALSE
1856	3109	A	1	FALSE
1856	3224	A	2	FALSE
1857	2	R	1	FALSE
1857	15	R	2	FALSE
1857	110	R	3	FALSE
1857	188	B	0	FALSE
1857	1502	A	1	FALSE
1857	1506	W	1	FALSE
1857	1802	W	2	FALSE
1857	2227	W	3	FALSE
1857	3450	A	2	FALSE
1858	2	R	1	FALSE
1858	188	B	0	FALSE
1858	1780	W	1	FALSE
1858	2640	W	2	FALSE
1859	188	B	0	FALSE
1859	1502	A	1	FALSE
1859	1502	R	1	FALSE
1859	1780	W	1	FALSE
1859	2227	W	2	FALSE
1860	188	B	1	FALSE
1860	416	W	21	FALSE
1860	843	W	24	FALSE
1860	1231	W	6	FALSE
1860	1365	W	25	FALSE
1860	1385	W	10	FALSE
1860	1399	W	18	FALSE
1860	1456	W	4	FALSE
1860	1457	W	20	FALSE
1860	1469	W	3	FALSE
1860	1471	W	23	FALSE
